Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-12 13:20:00+00:00,-9.3246076987,-8.9902584228,23.3256244659
2023-08-12 13:30:00+00:00,-9.3536496147,-9.0011000683,23.3271007538
2023-08-12 13:40:00+00:00,-9.3810839947,-9.0213467108,23.3303642273
2023-08-12 13:50:00+00:00,-9.4021113257,-9.0430392398,23.3346405029
2023-08-12 14:00:00+00:00,-9.4272267817,-9.0541857548,23.3398475647
2023-08-12 14:10:00+00:00,-9.5193645322,-9.0979541898,23.3458786011
2023-08-12 14:20:00+00:00,-9.5509378617,-9.1196051168,23.3525218964
2023-08-12 14:30:00+00:00,-9.5663526582,-9.1327564483,23.3596191406
2023-08-12 14:40:00+00:00,-9.5910570077,-9.1577656518,23.3680515289
2023-08-12 14:50:00+00:00,-9.6103613122,-9.1660897408,23.3773212433
2023-08-12 15:00:00+00:00,-9.6512657347,-9.1845718013,23.3872718811
2023-08-12 15:10:00+00:00,-9.6976533597,-9.2128145683,23.397321701
2023-08-12 15:20:00+00:00,-9.7389689042,-9.2463003033,23.4074611664
2023-08-12 15:30:00+00:00,-9.7681309297,-9.2751759353,23.4177646637
2023-08-12 15:40:00+00:00,-9.7819012382,-9.2909695208,23.4287567139
2023-08-12 15:50:00+00:00,-9.8137517232,-9.3150548623,23.4403209686
2023-08-12 16:00:00+00:00,-9.8291203452,-9.3274994248,23.4521217346
2023-08-12 16:10:00+00:00,-9.8533211617,-9.3511782633,23.4638996124
2023-08-12 16:20:00+00:00,-9.8690085102,-9.3673136858,23.4755973816
2023-08-12 16:30:00+00:00,-9.8793281622,-9.3805897303,23.4871063232
2023-08-12 16:40:00+00:00,-9.8793189242,-9.3829178768,23.4985561371
2023-08-12 16:50:00+00:00,-9.8907518327,-9.3953301063,23.5095691681
2023-08-12 17:00:00+00:00,-9.8993484737,-9.4084998983,23.5203418732
2023-08-12 17:10:00+00:00,-9.9073030117,-9.4204363243,23.5306358337
2023-08-12 17:20:00+00:00,-9.9255679482,-9.4415467973,23.5403900146
2023-08-12 17:30:00+00:00,-9.9340675747,-9.4528734688,23.5498447418
2023-08-12 17:40:00+00:00,-9.9375921507,-9.4630129643,23.558839798
2023-08-12 17:50:00+00:00,-9.9439252957,-9.4786772178,23.5675258636
2023-08-12 18:00:00+00:00,-9.9379847967,-9.4868996733,23.5758838654
2023-08-12 18:10:00+00:00,-9.9352270367,-9.4970253118,23.5841197968
2023-08-12 18:20:00+00:00,-9.9520923232,-9.5261780993,23.5922088623
2023-08-12 18:30:00+00:00,-9.9589659222,-9.5423874258,23.6004009247
2023-08-12 18:40:00+00:00,-9.9637146262,-9.5604398883,23.6084766388
2023-08-12 18:50:00+00:00,-9.9454866417,-9.5541483143,23.6164970398
2023-08-12 19:00:00+00:00,-9.9164770587,-9.5403687678,23.62408638
2023-08-12 19:10:00+00:00,-9.9083007932,-9.5442813708,23.6312732697
2023-08-12 19:20:00+00:00,-9.9145092097,-9.5589154943,23.6377601624
2023-08-12 19:30:00+00:00,-9.8760253137,-9.5344698398,23.6437206268
2023-08-12 19:40:00+00:00,-9.8897217182,-9.5562686058,23.6489200592
2023-08-12 19:50:00+00:00,-9.8654839342,-9.5456579258,23.6535739899
2023-08-12 20:00:00+00:00,-9.8382435677,-9.5315504148,23.6576309204
2023-08-12 20:10:00+00:00,-9.8199416637,-9.5287141163,23.6610736847
2023-08-12 20:20:00+00:00,-9.8066194292,-9.5279935058,23.6639842987
2023-08-12 20:30:00+00:00,-9.8015935697,-9.5348393908,23.6663646698
2023-08-12 20:40:00+00:00,-9.7638487757,-9.5183575123,23.6682472229
2023-08-12 20:50:00+00:00,-9.7538386277,-9.5214016658,23.6696357727
